,country,variety,harvest,rating_cat,price,points,wineries,reviews
289,Argentina,Malbec-Cabernet Sauvignon,2007,1,15.666666666666666,85.0,3,3
290,Argentina,Malbec-Cabernet Sauvignon,2007,3,26.0,91.0,2,2
291,Argentina,Malbec-Cabernet Sauvignon,2008,2,20.0,89.0,1,1
292,Argentina,Malbec-Cabernet Sauvignon,2008,3,45.0,92.0,1,1
293,Argentina,Malbec-Cabernet Sauvignon,2009,1,21.333333333333332,85.0,3,3
294,Argentina,Malbec-Cabernet Sauvignon,2009,2,20.0,89.0,1,1
295,Argentina,Malbec-Cabernet Sauvignon,2009,3,22.5,90.5,2,2
296,Argentina,Malbec-Cabernet Sauvignon,2009,4,169.0,94.0,1,1
297,Argentina,Malbec-Cabernet Sauvignon,2010,0,10.0,82.0,1,1
298,Argentina,Malbec-Cabernet Sauvignon,2010,1,17.0,85.5,2,2
299,Argentina,Malbec-Cabernet Sauvignon,2010,2,15.0,87.0,1,2
300,Argentina,Malbec-Cabernet Sauvignon,2010,3,110.33333333333333,91.66666666666667,3,3
301,Argentina,Malbec-Cabernet Sauvignon,2010,4,102.0,94.0,1,1
302,Argentina,Malbec-Cabernet Sauvignon,2011,1,10.0,84.0,1,1
303,Argentina,Malbec-Cabernet Sauvignon,2011,2,28.5,88.83333333333333,5,6
304,Argentina,Malbec-Cabernet Sauvignon,2011,3,61.8,90.8,5,5
305,Argentina,Malbec-Cabernet Sauvignon,2012,3,44.5,91.0,3,4
306,Argentina,Malbec-Cabernet Sauvignon,2013,0,12.0,82.0,2,2
307,Argentina,Malbec-Cabernet Sauvignon,2013,2,18.0,88.0,1,1
308,Argentina,Malbec-Cabernet Sauvignon,2013,3,77.66666666666667,90.66666666666667,2,3
309,Argentina,Malbec-Cabernet Sauvignon,2014,2,15.0,87.0,1,1
310,Argentina,Malbec-Cabernet Sauvignon,2014,3,40.0,91.0,1,2
311,Argentina,Malbec-Cabernet Sauvignon,2015,1,15.0,84.0,1,1
312,Argentina,Malbec-Merlot,2004,3,35.0,90.0,1,1
313,Argentina,Malbec-Merlot,2005,1,22.0,84.0,1,1
314,Argentina,Malbec-Merlot,2010,1,11.0,84.0,1,1
315,Argentina,Malbec-Merlot,2011,1,11.5,84.5,2,2
316,Argentina,Malbec-Merlot,2011,2,28.0,89.0,1,1
317,Argentina,Malbec-Merlot,2012,2,28.0,88.0,1,1
318,Argentina,Malbec-Petit Verdot,2013,3,49.0,91.0,1,2
319,Argentina,Malbec-Syrah,2007,0,19.0,82.0,1,1
320,Argentina,Malbec-Syrah,2007,2,35.0,89.0,1,1
321,Argentina,Malbec-Syrah,2009,1,11.25,85.25,4,4
322,Argentina,Malbec-Syrah,2010,1,10.0,85.0,2,3
323,Argentina,Malbec-Syrah,2010,2,11.0,87.0,1,1
324,Argentina,Malbec-Syrah,2011,2,18.0,88.0,1,1
325,Argentina,Malbec-Syrah,2013,1,11.5,84.0,2,2
326,Argentina,Malbec-Syrah,2014,1,13.0,86.0,1,1
327,Argentina,Malbec-Syrah,2014,2,23.0,87.0,1,2
328,Argentina,Malbec-Tannat,2007,2,80.0,87.0,1,1
329,Argentina,Malbec-Tannat,2010,1,15.0,84.0,1,1
330,Argentina,Malbec-Tannat,2014,1,15.0,83.0,1,1
331,Argentina,Malbec-Tempranillo,2005,2,8.0,87.0,1,1
332,Argentina,Malbec-Tempranillo,2009,1,14.0,86.0,1,1
333,Argentina,Merlot,2005,2,14.0,87.0,1,1
334,Argentina,Merlot,2006,0,13.5,81.0,2,2
335,Argentina,Merlot,2006,1,13.5,84.5,4,4
336,Argentina,Merlot,2006,2,22.5,88.5,2,2
337,Argentina,Merlot,2006,3,25.0,90.0,1,1
338,Argentina,Merlot,2007,0,8.0,80.0,1,1
339,Argentina,Merlot,2007,1,15.545454545454545,84.83333333333333,8,12
340,Argentina,Merlot,2007,2,13.0,88.0,2,2
341,Argentina,Merlot,2008,0,19.0,81.0,1,1
342,Argentina,Merlot,2008,1,14.333333333333334,85.0,4,6
343,Argentina,Merlot,2009,0,10.0,82.0,1,1
344,Argentina,Merlot,2009,1,11.0,85.8,5,5
345,Argentina,Merlot,2009,2,12.0,87.0,1,1
346,Argentina,Merlot,2010,0,11.5,82.0,2,2
347,Argentina,Merlot,2010,1,13.333333333333334,84.33333333333333,6,6
348,Argentina,Merlot,2010,2,95.0,89.0,1,1
349,Argentina,Merlot,2011,0,8.0,82.0,1,1
350,Argentina,Merlot,2011,1,16.5,84.75,4,4
351,Argentina,Merlot,2012,1,20.0,86.0,1,1
352,Argentina,Merlot,2012,2,18.0,87.0,1,1
353,Argentina,Merlot,2012,4,120.0,94.0,1,1
354,Argentina,Merlot,2013,1,14.0,84.0,2,2
355,Argentina,Merlot,2015,1,20.0,85.0,1,1
356,Argentina,Merlot-Cabernet Franc,2009,2,27.0,87.0,1,1
